bodemcijfercode,gvg_min,gvg_max,N_mineralisatie,old_min,old_max
10000,-5000,5,50,5000,10005
10000,5,10,55,10005,10010
10000,10,15,76,10010,10015
10000,15,20,112,10015,10020
10000,20,25,149,10020,10025
10000,25,30,171,10025,10030
10000,30,35,180,10030,10035
10000,35,40,186,10035,10040
10000,40,45,190,10040,10045
10000,45,50,193,10045,10050
10000,50,55,194,10050,10055
10000,55,60,195,10055,10060
10000,60,65,197,10060,10065
10000,65,70,198,10065,10070
10000,70,75,198,10070,10075
10000,75,999,199,10075,10999
10000,999,5000,200,10999,15000
20000,-5000,5,11,15000,20005
20000,5,10,13,20005,20010
20000,10,15,15,20010,20015
20000,15,20,17,20015,20020
20000,20,25,21,20020,20025
20000,25,30,22,20025,20030
20000,30,35,25,20030,20035
20000,35,40,27,20035,20040
20000,40,999,29,20040,20999
20000,999,5000,30,20999,25000
30000,-5000,5,40,25000,30005
30000,5,10,54,30005,30010
30000,10,15,68,30010,30015
30000,15,20,75,30015,30020
30000,20,25,91,30020,30025
30000,25,30,101,30025,30030
30000,30,35,120,30030,30035
30000,35,40,127,30035,30040
30000,40,999,134,30040,30999
30000,999,5000,140,30999,35000
40000,-5000,5,18,35000,40005
40000,5,10,21,40005,40010
40000,10,15,24,40010,40015
40000,15,20,26,40015,40020
40000,20,25,29,40020,40025
40000,25,30,31,40025,40030
40000,30,35,34,40030,40035
40000,35,40,36,40035,40040
40000,40,999,38,40040,40999
40000,999,5000,40,40999,45000
50000,-5000,5,11,45000,50005
50000,5,10,13,50005,50010
50000,10,15,15,50010,50015
50000,15,20,17,50015,50020
50000,20,25,21,50020,50025
50000,25,30,22,50025,50030
50000,30,35,25,50030,50035
50000,35,40,27,50035,50040
50000,40,999,29,50040,50999
50000,999,5000,30,50999,55000
60000,-5000,5,11,55000,60005
60000,5,10,13,60005,60010
60000,10,15,15,60010,60015
60000,15,20,17,60015,60020
60000,20,25,21,60020,60025
60000,25,30,22,60025,60030
60000,30,35,25,60030,60035
60000,35,40,27,60035,60040
60000,40,999,29,60040,60999
60000,999,5000,30,60999,65000
70000,-5000,5,50,65000,70005
70000,5,10,55,70005,70010
70000,10,15,76,70010,70015
70000,15,20,112,70015,70020
70000,20,25,149,70020,70025
70000,25,30,171,70025,70030
70000,30,35,180,70030,70035
70000,35,40,186,70035,70040
70000,40,45,190,70040,70045
70000,45,50,193,70045,70050
70000,50,55,194,70050,70055
70000,55,60,195,70055,70060
70000,60,65,197,70060,70065
70000,65,70,198,70065,70070
70000,70,75,198,70070,70075
70000,75,999,199,70075,70999
70000,999,5000,200,70999,75000
80000,-5000,5,50,75000,80005
80000,5,10,55,80005,80010
80000,10,15,76,80010,80015
80000,15,20,112,80015,80020
80000,20,25,149,80020,80025
80000,25,30,171,80025,80030
80000,30,35,180,80030,80035
80000,35,40,186,80035,80040
80000,40,45,190,80040,80045
80000,45,50,193,80045,80050
80000,50,55,194,80050,80055
80000,55,60,195,80055,80060
80000,60,65,197,80060,80065
80000,65,70,198,80065,80070
80000,70,75,198,80070,80075
80000,75,999,199,80075,80999
80000,999,5000,200,80999,85000
90000,-5000,5,45,85000,90005
90000,5,10,50,90005,90010
90000,10,15,65,90010,90015
90000,15,20,84,90015,90020
90000,20,25,105,90020,90025
90000,25,30,127,90025,90030
90000,30,35,139,90030,90035
90000,35,40,150,90035,90040
90000,40,45,155,90040,90045
90000,45,50,160,90045,90050
90000,50,55,161,90050,90055
90000,55,60,162,90055,90060
90000,60,65,163,90060,90065
90000,65,70,163,90065,90070
90000,70,75,164,90070,90075
90000,75,999,164,90075,90999
90000,999,5000,165,90999,95000
100000,-5000,5000,0,95000,105000
110000,-5000,5,11,105000,110005
110000,5,10,13,110005,110010
110000,10,15,15,110010,110015
110000,15,20,17,110015,110020
110000,20,25,21,110020,110025
110000,25,30,22,110025,110030
110000,30,35,25,110030,110035
110000,35,40,27,110035,110040
110000,40,45,29,110040,110045
110000,45,999,30,110045,110999
110000,999,5000,30,110999,115000
120000,-5000,5,30,115000,120005
120000,5,10,36,120005,120010
120000,10,15,45,120010,120015
120000,15,20,55,120015,120020
120000,20,25,61,120020,120025
120000,25,30,65,120025,120030
120000,30,35,69,120030,120035
120000,35,40,76,120035,120040
120000,40,45,79,120040,120045
120000,45,999,79,120045,120999
120000,999,5000,80,120999,125000
130000,-5000,5,45,125000,130005
130000,5,10,50,130005,130010
130000,10,15,65,130010,130015
130000,15,20,84,130015,130020
130000,20,25,105,130020,130025
130000,25,30,127,130025,130030
130000,30,35,139,130030,130035
130000,35,40,150,130035,130040
130000,40,45,155,130040,130045
130000,45,50,160,130045,130050
130000,50,55,161,130050,130055
130000,55,60,162,130055,130060
130000,60,65,163,130060,130065
130000,65,70,163,130065,130070
130000,70,75,164,130070,130075
130000,75,999,164,130075,130999
130000,999,5000,165,130999,135000
140000,-5000,5,39,135000,140005
140000,5,10,43,140005,140010
140000,10,15,47,140010,140015
140000,15,20,52,140015,140020
140000,20,25,58,140020,140025
140000,25,30,67,140025,140030
140000,30,35,75,140030,140035
140000,35,40,83,140035,140040
140000,40,5000,87,140040,145000
150000,-5000,5,40,145000,150005
150000,5,10,54,150005,150010
150000,10,15,68,150010,150015
150000,15,20,75,150015,150020
150000,20,25,91,150020,150025
150000,25,30,101,150025,150030
150000,30,35,120,150030,150035
150000,35,40,127,150035,150040
150000,40,999,134,150040,150999
150000,999,5000,140,150999,155000
