soil_code,msw_min,msw_max,nitrogen_mineralisation
10000,-5000,5,50
10000,5,10,55
10000,10,15,76
10000,15,20,112
10000,20,25,149
10000,25,30,171
10000,30,35,180
10000,35,40,186
10000,40,45,190
10000,45,50,193
10000,50,55,194
10000,55,60,195
10000,60,65,197
10000,65,70,198
10000,70,75,198
10000,75,999,199
10000,999,5000,200
20000,-5000,5,11
20000,5,10,13
20000,10,15,15
20000,15,20,17
20000,20,25,21
20000,25,30,22
20000,30,35,25
20000,35,40,27
20000,40,999,29
20000,999,5000,30
30000,-5000,5,40
30000,5,10,54
30000,10,15,68
30000,15,20,75
30000,20,25,91
30000,25,30,101
30000,30,35,120
30000,35,40,127
30000,40,999,134
30000,999,5000,140
40000,-5000,5,18
40000,5,10,21
40000,10,15,24
40000,15,20,26
40000,20,25,29
40000,25,30,31
40000,30,35,34
40000,35,40,36
40000,40,999,38
40000,999,5000,40
50000,-5000,5,11
50000,5,10,13
50000,10,15,15
50000,15,20,17
50000,20,25,21
50000,25,30,22
50000,30,35,25
50000,35,40,27
50000,40,999,29
50000,999,5000,30
60000,-5000,5,11
60000,5,10,13
60000,10,15,15
60000,15,20,17
60000,20,25,21
60000,25,30,22
60000,30,35,25
60000,35,40,27
60000,40,999,29
60000,999,5000,30
70000,-5000,5,50
70000,5,10,55
70000,10,15,76
70000,15,20,112
70000,20,25,149
70000,25,30,171
70000,30,35,180
70000,35,40,186
70000,40,45,190
70000,45,50,193
70000,50,55,194
70000,55,60,195
70000,60,65,197
70000,65,70,198
70000,70,75,198
70000,75,999,199
70000,999,5000,200
80000,-5000,5,50
80000,5,10,55
80000,10,15,76
80000,15,20,112
80000,20,25,149
80000,25,30,171
80000,30,35,180
80000,35,40,186
80000,40,45,190
80000,45,50,193
80000,50,55,194
80000,55,60,195
80000,60,65,197
80000,65,70,198
80000,70,75,198
80000,75,999,199
80000,999,5000,200
90000,-5000,5,45
90000,5,10,50
90000,10,15,65
90000,15,20,84
90000,20,25,105
90000,25,30,127
90000,30,35,139
90000,35,40,150
90000,40,45,155
90000,45,50,160
90000,50,55,161
90000,55,60,162
90000,60,65,163
90000,65,70,163
90000,70,75,164
90000,75,999,164
90000,999,5000,165
100000,-5000,5000,0
110000,-5000,5,11
110000,5,10,13
110000,10,15,15
110000,15,20,17
110000,20,25,21
110000,25,30,22
110000,30,35,25
110000,35,40,27
110000,40,45,29
110000,45,999,30
110000,999,5000,30
120000,-5000,5,30
120000,5,10,36
120000,10,15,45
120000,15,20,55
120000,20,25,61
120000,25,30,65
120000,30,35,69
120000,35,40,76
120000,40,45,79
120000,45,999,79
120000,999,5000,80
130000,-5000,5,45
130000,5,10,50
130000,10,15,65
130000,15,20,84
130000,20,25,105
130000,25,30,127
130000,30,35,139
130000,35,40,150
130000,40,45,155
130000,45,50,160
130000,50,55,161
130000,55,60,162
130000,60,65,163
130000,65,70,163
130000,70,75,164
130000,75,999,164
130000,999,5000,165
140000,-5000,5,39
140000,5,10,43
140000,10,15,47
140000,15,20,52
140000,20,25,58
140000,25,30,67
140000,30,35,75
140000,35,40,83
140000,40,5000,87
150000,-5000,5,40
150000,5,10,54
150000,10,15,68
150000,15,20,75
150000,20,25,91
150000,25,30,101
150000,30,35,120
150000,35,40,127
150000,40,999,134
150000,999,5000,140
