rainwater,mineral_richness,inundation,seepage,soil_mlw_class,acidity
0,0,0,1,1,3
0,0,0,1,2,2
0,0,0,1,3,1
0,0,0,1,4,3
0,0,0,1,5,2
0,0,0,1,6,1
0,0,0,1,7,3
0,0,0,1,8,2
0,0,0,1,9,1
0,0,0,2,1,1
0,0,0,2,2,1
0,0,0,2,3,1
0,0,0,2,4,1
0,0,0,2,5,1
0,0,0,2,6,1
0,0,0,2,7,1
0,0,0,2,8,1
0,0,0,2,9,1
0,0,0,3,1,1
0,0,0,3,2,1
0,0,0,3,3,1
0,0,0,3,4,1
0,0,0,3,5,1
0,0,0,3,6,1
0,0,0,3,7,1
0,0,0,3,8,1
0,0,0,3,9,1
0,0,1,1,1,3
0,0,1,1,2,3
0,0,1,1,3,3
0,0,1,1,4,3
0,0,1,1,5,3
0,0,1,1,6,3
0,0,1,1,7,3
0,0,1,1,8,3
0,0,1,1,9,3
0,0,1,2,1,3
0,0,1,2,2,3
0,0,1,2,3,3
0,0,1,2,4,3
0,0,1,2,5,3
0,0,1,2,6,3
0,0,1,2,7,3
0,0,1,2,8,3
0,0,1,2,9,3
0,0,1,3,1,1
0,0,1,3,2,1
0,0,1,3,3,1
0,0,1,3,4,1
0,0,1,3,5,1
0,0,1,3,6,1
0,0,1,3,7,1
0,0,1,3,8,1
0,0,1,3,9,1
0,1,0,1,1,3
0,1,0,1,2,2
0,1,0,1,3,1
0,1,0,1,4,3
0,1,0,1,5,2
0,1,0,1,6,1
0,1,0,1,7,3
0,1,0,1,8,2
0,1,0,1,9,1
0,1,0,2,1,3
0,1,0,2,2,2
0,1,0,2,3,1
0,1,0,2,4,3
0,1,0,2,5,2
0,1,0,2,6,1
0,1,0,2,7,3
0,1,0,2,8,2
0,1,0,2,9,1
0,1,0,3,1,3
0,1,0,3,2,2
0,1,0,3,3,1
0,1,0,3,4,3
0,1,0,3,5,2
0,1,0,3,6,1
0,1,0,3,7,3
0,1,0,3,8,2
0,1,0,3,9,1
0,1,1,1,1,3
0,1,1,1,2,3
0,1,1,1,3,3
0,1,1,1,4,3
0,1,1,1,5,3
0,1,1,1,6,3
0,1,1,1,7,3
0,1,1,1,8,3
0,1,1,1,9,3
0,1,1,2,1,3
0,1,1,2,2,3
0,1,1,2,3,3
0,1,1,2,4,3
0,1,1,2,5,3
0,1,1,2,6,3
0,1,1,2,7,3
0,1,1,2,8,3
0,1,1,2,9,3
0,1,1,3,1,3
0,1,1,3,2,3
0,1,1,3,3,3
0,1,1,3,4,3
0,1,1,3,5,3
0,1,1,3,6,3
0,1,1,3,7,3
0,1,1,3,8,3
0,1,1,3,9,3
1,0,0,1,1,1
1,0,0,1,2,1
1,0,0,1,3,1
1,0,0,1,4,1
1,0,0,1,5,1
1,0,0,1,6,1
1,0,0,1,7,1
1,0,0,1,8,1
1,0,0,1,9,1
1,0,0,2,1,1
1,0,0,2,2,1
1,0,0,2,3,1
1,0,0,2,4,1
1,0,0,2,5,1
1,0,0,2,6,1
1,0,0,2,7,1
1,0,0,2,8,1
1,0,0,2,9,1
1,0,0,3,1,1
1,0,0,3,2,1
1,0,0,3,3,1
1,0,0,3,4,1
1,0,0,3,5,1
1,0,0,3,6,1
1,0,0,3,7,1
1,0,0,3,8,1
1,0,0,3,9,1
1,0,1,1,1,3
1,0,1,1,2,3
1,0,1,1,3,3
1,0,1,1,4,3
1,0,1,1,5,3
1,0,1,1,6,3
1,0,1,1,7,3
1,0,1,1,8,3
1,0,1,1,9,3
1,0,1,2,1,3
1,0,1,2,2,3
1,0,1,2,3,3
1,0,1,2,4,3
1,0,1,2,5,3
1,0,1,2,6,3
1,0,1,2,7,3
1,0,1,2,8,3
1,0,1,2,9,3
1,0,1,3,1,1
1,0,1,3,2,1
1,0,1,3,3,1
1,0,1,3,4,1
1,0,1,3,5,1
1,0,1,3,6,1
1,0,1,3,7,1
1,0,1,3,8,1
1,0,1,3,9,1
1,1,0,1,1,1
1,1,0,1,2,1
1,1,0,1,3,1
1,1,0,1,4,1
1,1,0,1,5,1
1,1,0,1,6,1
1,1,0,1,7,1
1,1,0,1,8,1
1,1,0,1,9,1
1,1,0,2,1,1
1,1,0,2,2,1
1,1,0,2,3,1
1,1,0,2,4,1
1,1,0,2,5,1
1,1,0,2,6,1
1,1,0,2,7,1
1,1,0,2,8,1
1,1,0,2,9,1
1,1,0,3,1,1
1,1,0,3,2,1
1,1,0,3,3,1
1,1,0,3,4,1
1,1,0,3,5,1
1,1,0,3,6,1
1,1,0,3,7,1
1,1,0,3,8,1
1,1,0,3,9,1
1,1,1,1,1,3
1,1,1,1,2,3
1,1,1,1,3,3
1,1,1,1,4,3
1,1,1,1,5,3
1,1,1,1,6,3
1,1,1,1,7,3
1,1,1,1,8,3
1,1,1,1,9,3
1,1,1,2,1,3
1,1,1,2,2,3
1,1,1,2,3,3
1,1,1,2,4,3
1,1,1,2,5,3
1,1,1,2,6,3
1,1,1,2,7,3
1,1,1,2,8,3
1,1,1,2,9,3
1,1,1,3,1,3
1,1,1,3,2,3
1,1,1,3,3,3
1,1,1,3,4,3
1,1,1,3,5,3
1,1,1,3,6,3
1,1,1,3,7,3
1,1,1,3,8,3
1,1,1,3,9,3
